bs_ts,mmsi,imo,name,callsign,nav_status,sog,cog,lon,lat,shiptype,length,width,draught,destination,eta
2023-08-08 00:00:07,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,0.3,244.7,169.67171500,70.12133333,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:00:16,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,0.3,240.8,169.67167333,70.12132500,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:00:56,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,0.5,224.6,169.67147000,70.12126833,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:01:16,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,0.6,219.5,169.67136167,70.12122500,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:03:29,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,0.6,196.7,169.67083333,70.12084667,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:08:29,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,0.9,185.7,169.66941667,70.12048333,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:10:29,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,0.5,298.8,169.66906833,70.12020167,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:18:27,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,0.4,220.8,169.66606500,70.11989500,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:20:33,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,6.0,154.0,169.66666667,70.11833333,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:21:54,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,4.7,132.5,169.67130833,70.11635000,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:23:34,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,8.0,91.0,169.67833333,70.11500000,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:32:40,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,7.0,65.0,169.73000000,70.12000000,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:38:36,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,4.0,58.0,169.76500000,70.12166667,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:41:33,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,9.0,90.0,169.78166667,70.12166667,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:47:36,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,5.0,107.0,169.81166667,70.12000000,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:49:52,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,3.7,91.4,169.82235500,70.12146500,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:50:36,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,3.0,72.0,169.82333333,70.12000000,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:53:36,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,3.0,92.0,169.83666667,70.12166667,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:54:45,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,4.5,79.1,169.84066833,70.12271333,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:55:22,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,4.5,95.8,169.84257667,70.12274500,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:57:20,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,3.6,92.0,169.84908833,70.12307667,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
2023-08-08 00:58:30,273118000,8904434,MEKHANIK PYATLIN,UCBP,Under way using engine,5.5,84.9,169.85241667,70.12300833,Cargo ship,85,14,4.2,VLADIVOSTOK,2023-08-25 01:00:00
